feature	group	avgExpr	logFC	statistic	auc	pval	padj	pct_in	pct_out
Atp1b1	16	6.51073985680191	6.33616931889649	32811030	0.865644662886443	0	0	76.4916467780429	9.104375317813
Rell1	16	8.52386634844869	7.98779595425002	32740737.9213867	0.863790165703795	0	0	81.8615751789976	29.0442395702063
Pacsin1	16	5.59307875894988	5.27681336574611	32691086	0.862480212290249	0	0	79.1169451073986	16.4113108266454
Card11	16	7.48329355608592	6.58116890706202	32652854.9384766	0.861471572379699	0	0	86.7541766109785	34.5338374123941
Ccr9	16	11.6801909307876	11.6057508343935	32604391	0.860192961202766	0	0	73.0310262529833	2.57124538480246
Cd300c	16	3.86276849642005	3.83506625680562	32547106.5	0.858681639501157	0	0	72.4343675417661	1.45696535561893
Hmgb2	17	105.561952440551	101.448566091975	35687556.1025391	0.986641853856393	0	0	99.874843554443	74.2898166556218
Stmn1	17	34.0225281602003	32.8252010119785	35444719	0.97992821820295	0	0	98.8735919899875	22.2840733377513
Hmgb1	17	55.5206508135169	49.8758529341266	35298745.9589844	0.975892550661388	0	0	99.874843554443	87.9633311243649
Pclaf	17	22.982478097622	22.492992787262	34963526	0.966624837264827	0	0	95.8698372966208	9.71504307488403
H2afv	17	16.8473091364205	15.4024891673461	34945970.8408203	0.966139495686714	0	0	98.9987484355444	57.1946101170753
Ran	17	33.7722152690864	31.1273069412754	34783336.3432617	0.961643194463084	0	0	98.9987484355444	70.3711066931743
Anp32b	17	27.1376720901126	24.1718890108107	34768880.0610352	0.961243526493249	0	0	100	73.5984095427435
